depth,SUM FriendsCount,AVG FriendsCount,AVG WordCount,SUM WordCount,AVG CharCount,AVG HashTag,SUM HashTag,Ratio HashTag,SUM Url,AVG Url,RATIO Url,SUM Mention,AVG Mention,Ratio Mention,AVG Statues,AVG Listed,AVG Follower,AVG followers/friend,AVG favorite,Tweets Count,Ratio Verified,SUM Verified,SUM RT,AVG RT,AVG AccAge,thread_time,AVG Emoji,RATIO Emoji,Ratio Media,RATIO Question,RATIO Exclaim,RATIO Period,AVG FPP,AVG SPP,AVG TPP,AVG Skepticism,Ratio Skepticism
4,3.9618480590183243,2.7482162684294,5.569759619788113,2.0043213737826426,1.6057066952233066,0.0,0,0.0,4,0.44221663871405337,0.26666666666666666,12,0.5416025603090641,0.7333333333333333,4.464824641971037,1.717504331345815,3.8682768527207254,1.1000816607789987,3.531302568634827,1.1760912590556813,0.0,0,2.0718820073061255,0.9444826721501687,2.788782509296453,3.994932736730042,0.5416025603090641,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.7333333333333333,0.3399346342395189,0.0,0.699205898780101,2.0591260281974,0.8
4,3.8748875108461123,2.711085300790717,7.4625565788488855,2.037426497940624,1.6441449554495509,0.22329687826943606,1,0.05263157894736842,0,0.0,0.0,15,0.7663273567663703,0.5789473684210527,4.557508309347085,2.5588675653672497,5.03578115089111,2.792069463216551,3.8461068070075273,1.2787536009528289,0.05263157894736842,1,4.017700971224117,2.739697231433527,2.7231266339098115,5.005785185452375,0.3068922049918579,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.6359497880839249,0.5469634129164876,0.22329687826943606,1.8608073189119672,0.631578947368421
2,3.5336449787987627,2.8183652729271653,8.76682056718072,1.9294189257142926,1.7371365471562439,0.0,0,0.0,0,0.0,0.0,6,0.6388765649999398,0.7142857142857143,4.453618431047881,2.8795099194865754,4.908623455438825,2.7522777113911565,2.443755652357045,0.8450980400142568,0.0,0,2.1072099696478683,1.2820067583505508,2.9382307333446662,3.407900540142635,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.0,0.4948716593053935,1.8405855323893037,0.7142857142857143
3,3.8587176148602915,2.8034058327812312,6.770978795281658,2.1583624920952498,1.6586676738759993,0.26646935501059654,1,0.07692307692307693,3,0.4213250442347432,0.23076923076923078,15,0.6617173282340483,0.8461538461538461,4.521746630955348,2.210185291740122,4.287947849958365,2.22908982582982,2.610238783319018,1.1139433523068367,0.07692307692307693,1,2.292256071356476,1.2041199826559248,2.7674552876638674,4.33124503682083,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.46153846153846156,0.26646935501059654,0.6249260311258432,2.939226642237354,0.7692307692307693
2,3.1792644643390253,2.5340458420922287,5.122499389946279,1.7708520116421442,1.5091831906507487,0.0,0,0.0,2,0.48989794855663565,0.4,12,0.8,1.0,4.504241175503869,2.9374207136208077,4.967389505481879,2.8102173554777106,2.796534790771793,0.6989700043360189,0.0,0,2.296665190261531,1.606381365110605,2.842776188228332,3.7407573233077707,0.0,0.0,0.0,0.2,0.0,0.8,0.4,0.0,0.0,2.638181191654584,1.0
5,3.9004217534577377,2.6732648729276742,8.354040938372279,2.2121876044039577,1.7249467102441773,0.0,0,0.0,2,0.30000000000000004,0.1,18,0.8306623862918076,0.6,4.512439816346024,2.5476322483478446,5.026275907144237,2.7821435824580334,2.944434782716746,1.3010299956639813,0.05,1,3.166133970305109,1.87069645798925,2.880883910746008,4.822749801175969,0.21794494717703364,0.05,0.0,0.0,0.15,0.35,0.7399324293474372,0.30000000000000004,0.4,2.8508770580296865,0.6
6,4.037067758042558,2.7953240025017965,5.411464738615964,2.093421685162235,1.6786588966385896,0.0,0,0.0,1,0.18885257457751053,0.037037037037037035,17,0.7768954430890012,0.4444444444444444,4.677386200591719,1.8039127097936145,3.5930124321821677,1.9732118157237122,3.933023874187493,1.4313637641589874,0.0,0,2.7649229846498886,1.3525398151137475,2.7974328726274718,3.7756832490260437,0.6108304630544683,0.1111111111111111,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2962962962962963,0.0,0.44752022124424345,0.546845298527163,1.7916128329552332,0.3333333333333333
3,3.490941205356787,2.5247966841397225,7.870871443744372,1.9493900066449128,1.784269546397063,0.0,0,0.0,0,0.0,0.0,8,0.9938079899999066,0.5555555555555556,4.059624856282037,1.4345025350277734,4.558975561576987,2.377779958481466,3.874315031323372,0.9542425094393249,0.0,0,2.8948696567452528,1.9450306778782789,2.5878766163846385,4.412225275871112,0.41573970964154905,0.2222222222222222,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.31426968052735443,2.494438257849294,0.6666666666666666
5,3.3170181010481117,2.1758953006410557,6.829348431585549,1.8750612633917,1.6776343616310903,0.0,0,0.0,1,0.30000000000000004,0.1,11,0.9433981132056604,0.7,4.968145217563888,1.8899566814513191,3.911189466823235,1.2634627681930228,3.4426214037910614,1.0,0.0,0,2.093421685162235,1.1238516409670858,2.887981238277554,3.002166061756508,0.0,0.0,0.0,0.1,0.0,0.6,0.30000000000000004,0.0,0.9219544457292888,2.2,0.7
3,3.7444494574467986,2.5501627835683105,7.001952852597624,2.1702617153949575,1.6830500060439848,0.4330127018922193,4,0.25,0,0.0,0.0,15,0.7473912964438374,0.6875,4.405981811083667,2.6827206157686234,5.166513925684712,2.7110155416289103,2.922267344764284,1.2041199826559248,0.0,0,2.161368002234975,1.0,2.777140690003026,4.454204375035515,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.24206145913796356,0.7261843774138906,0.582961190818051,2.6190408549696205,0.625
4,4.2638726768652235,2.760782541551419,9.071428185674312,2.514547752660286,1.7972057179584446,0.2618914004394621,2,0.07407407407407407,0,0.0,0.0,19,0.5972042776517444,0.6296296296296297,4.68877270820873,1.3507799825144484,3.1355263309563957,0.36099103894614576,3.7044040943472707,1.4313637641589874,0.0,0,3.0433622780211294,1.622098840766468,2.8901332118853893,4.171023995785723,0.18885257457751053,0.037037037037037035,0.0,0.1111111111111111,0.07407407407407407,0.48148148148148145,0.18885257457751053,0.3142696805273545,0.816496580927726,3.292340531117567,0.7037037037037037
8,3.470704429722788,2.3238158087749317,5.3740940098395,1.9344984512435677,1.5835186678911441,0.0,0,0.0,0,0.0,0.0,19,0.9733285267845752,0.5789473684210527,3.8572496440361723,0.4703750686522053,2.4145464446266356,0.22390897529057632,3.7801960805797794,1.2787536009528289,0.0,0,0.3010299956639812,0.022276394711152208,2.8012324238420327,3.4101020766428607,0.7841928645132284,0.10526315789473684,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.3068922049918579,0.0,2.249037959918052,0.5789473684210527
5,3.834929096460576,2.5374792565765927,6.3829773617019825,2.12057393120585,1.6575317270946281,0.0,0,0.0,2,0.2712931993250107,0.08,24,0.9991996797437438,0.52,4.525313791831671,2.2149429793979176,4.71387746773198,2.5170776846813814,3.5013660672297195,1.3979400086720377,0.0,0,2.060697840353612,0.7450747915820575,2.8322711497028004,3.6062738531699883,0.19595917942265428,0.04,0.04,0.04,0.04,0.24,0.0,0.43081318457076034,0.32496153618543844,1.6079800993793425,0.48
3,3.4089180208467798,2.3276608426729513,7.723869707944725,2.03342375548695,1.7540792057905537,0.0,0,0.0,1,0.25753937681885636,0.07142857142857142,12,0.8329931278350429,0.5714285714285714,4.266601762417752,0.2795546842399667,2.2339637997696173,0.28303875315937516,3.2915410049786678,1.146128035678238,0.0,0,0.0,0.0,2.664058175822006,4.676602169582019,0.7726181304565691,0.07142857142857142,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.4032291201801033,0.5714285714285714
1,2.900913067737669,0.0,0.0,1.2787536009528289,0.0,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.6020599913279624,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0,0.0,0.0,0.0,3.5259513412480126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.315550534421905,2.547974257022989,6.337191807101943,1.7781512503836436,1.6667034470500663,1.2000000000000002,3,0.2,1,0.4,0.2,9,1.1661903789690602,0.8,4.2916212158063605,2.17370163991919,3.6493202621686947,0.7531969113743693,3.003136071463309,0.6989700043360189,0.2,1,1.0413926851582251,0.47712125471966244,2.921588791968008,2.781755374652469,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.4000000000000001,2.4,0.8
3,3.24699069924155,2.6797601532133495,4.422166387140534,1.2304489213782739,1.4801570985872694,0.0,0,0.0,0,0.0,0.0,5,1.2133516482134197,0.3333333333333333,3.5580587025134323,0.7615908109230376,2.683988996329622,0.14005532384555242,2.354936725047823,0.7781512503836436,0.0,0,0.0,0.0,2.9159768821641827,3.569958818096594,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.372677996249965,0.74535599249993,0.16666666666666666
3,3.317854489331469,2.497944561487411,8.110350040397625,1.8976270912904414,1.7303202524513466,0.6285393610547089,2,0.1111111111111111,2,0.41573970964154905,0.2222222222222222,4,0.4969039949999533,0.4444444444444444,4.569771257394205,3.247825687630821,4.967516261352996,2.4389064469654373,3.0217769031086084,0.9542425094393249,0.1111111111111111,1,1.2787536009528289,0.47712125471966244,2.921773905617834,3.9283958522567137,1.2472191289246473,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,1.632993161855452,0.41573970964154905,0.41573970964154905,2.6246692913372702,0.5555555555555556
2,3.2579184503140586,2.743536145974927,6.79869268479038,1.3222192947339193,1.6670848669281284,0.0,0,0.0,0,0.0,0.0,3,0.816496580927726,0.6666666666666666,3.6317973898677716,1.2584807513192484,3.2156023237059124,0.660497509798179,2.73696330366013,0.47712125471966244,0.0,0,1.2041199826559248,0.7781512503836436,2.9251163249874836,4.311117842662505,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.699673171197595,0.6666666666666666
9,3.9814561665221264,2.480935619168868,6.557099629832961,1.9637878273455553,1.5118812398719796,0.0,0,0.0,0,0.0,0.0,13,0.339934634239519,0.8666666666666667,5.067494170161556,1.516663493718675,3.303277985342544,0.5156381822256934,2.8126575582483837,1.1760912590556813,0.0,0,0.6989700043360189,0.1026623418971477,2.7554931016797104,3.4665710723863543,0.0,0.0,0.0,0.2,0.3333333333333333,0.4,0.8055363982396383,0.44221663871405337,0.33993463423951903,1.1234866364235143,0.5333333333333333
