emoji_count,URLcount,has_media,Skepticism,MentionCount,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,test_auxiliary,test_tentat,test_certain,Numeral,char_count,word_count,HashTag,has_question,has_exclaim,has_period,capital_ratio,retweet_count,tweet_count,listed_count,friends_count,follower_count,followers/friend,favourites_count,account_age_days,verified
0,1,0,5,0,0,0,0,0,0,0,0,69,8,0,0,0,1,0.10144927536231885,117,40676,148,652,21833,33.486196319018404,3.984527313343797,1570,0
0,0,0,4,0,2,0,0,4,0,0,0,148,25,1,0,0,1,0.02702702702702703,10402,509,1623,176,488496,2775.5454545454545,0.8450980400204611,579,1
0,0,0,4,0,0,0,1,0,0,0,0,119,20,0,0,0,1,0.025210084033613446,126,83232,2165,144,232347,1613.5208333333333,2.276461804173474,2042,0
0,2,1,9,0,0,0,0,0,0,0,0,130,16,0,0,0,1,0.1076923076923077,192,15448,608,716,73548,102.72067039106145,2.0043213737830725,468,1
0,1,0,6,1,0,0,0,1,0,0,0,120,15,0,0,0,1,0.06666666666666667,196,83232,2165,144,232347,1613.5208333333333,2.276461804173474,2039,0
0,1,0,8,0,2,0,0,2,0,0,0,129,19,0,0,0,1,0.07751937984496124,1464,509,1623,176,488496,2775.5454545454545,0.8450980400204611,579,1
0,1,1,5,0,0,0,0,0,0,0,0,90,10,0,0,0,1,0.12222222222222222,575,10431,37,15,7416,494.4,4.342945178152237e-11,881,0
0,1,1,5,0,0,0,0,0,0,0,0,125,17,0,0,0,1,0.104,781,728,84,153,115868,757.3071895424837,0.7781512503908818,454,0
0,1,0,7,0,0,0,1,0,0,0,0,135,19,0,0,0,1,0.07407407407407407,123,33646,264,476,28220,59.285714285714285,2.290034611362741,1219,0
0,0,0,7,0,0,0,0,1,0,0,0,126,19,1,0,0,0,0.07936507936507936,143,105460,1986,286,606359,2120.1363636363635,1.3802112417134156,1242,0
0,0,0,6,0,0,0,1,0,0,0,0,113,17,0,0,0,1,0.07079646017699115,859,29,1,488,1456,2.9836065573770494,0.6020599913388197,688,0
0,1,1,5,0,0,0,0,0,0,0,0,138,16,1,0,0,1,0.14492753623188406,248,2181,2,1221,469,0.3841113841113841,4.342945178152237e-11,178,0
0,1,1,5,0,0,0,0,0,0,0,0,125,17,0,0,0,1,0.104,3751,3005,697,145,241577,1666.048275862069,1.6334684555805965,248,0
0,0,0,5,0,0,0,0,1,0,0,0,96,15,0,0,0,1,0.0625,268,7496,470,159,118697,746.5220125786163,1.8129133566435238,400,0
0,0,0,3,0,0,0,0,1,0,0,0,100,18,1,0,0,0,0.09,3,55671,727,795,24763,31.148427672955975,1.579783596617953,2261,1
0,1,0,3,2,0,0,0,0,0,0,0,132,17,1,0,0,1,0.11363636363636363,10,78125,1918,1980,156165,78.87121212121212,1.7323937598237729,2466,1
0,0,0,2,1,0,0,0,3,0,0,0,88,14,3,0,0,0,0.10227272727272728,10,22594,375,946,11225,11.865750528541227,2.305351369446839,2075,1
0,1,1,3,1,1,0,0,0,0,0,0,109,11,4,0,1,1,0.1834862385321101,8,9809,13,1281,1308,1.0210772833723654,1.041392685162173,1377,0
0,2,1,5,0,0,1,0,1,0,0,0,100,12,0,1,0,1,0.1,18,119076,5629,339,295373,871.306784660767,3.532244643626595,2470,1
0,0,0,4,1,0,0,0,1,0,0,0,110,16,0,0,1,1,0.09090909090909091,15,3702,40,474,3664,7.729957805907173,0.6989700043447047,771,0
0,0,0,3,0,1,1,0,2,0,0,1,130,26,0,0,0,1,0.05384615384615385,4,134781,20,625,931,1.4896,3.3029799367482706,1841,0
0,0,0,5,0,0,0,0,3,0,0,0,125,23,0,0,1,1,0.064,3,38101,34,1352,1156,0.8550295857988166,3.225825991461919,2093,0
0,1,0,2,2,0,1,0,0,0,0,0,126,15,1,1,0,1,0.11904761904761904,2,39271,2939,973,141907,145.8448098663926,2.6580113966572076,2119,1
0,1,1,5,1,0,0,1,3,1,0,0,140,17,3,1,0,1,0.06428571428571428,2,13123,64,692,5711,8.252890173410405,2.909556029241229,1224,0
0,0,0,6,0,1,0,1,2,0,0,0,125,21,0,0,0,1,0.04,2,10752,24,510,576,1.1294117647058823,3.278753600952852,2019,0
0,1,1,6,1,0,0,0,2,0,0,1,140,23,1,0,0,1,0.07142857142857142,3,5557,59,957,1992,2.0815047021943576,1.361727836019481,2190,0
0,0,0,2,0,0,0,1,2,1,0,0,113,18,1,0,0,1,0.017699115044247787,2,401,12,552,266,0.48188405797101447,0.6020599913388197,2090,0
0,1,1,2,0,0,0,0,0,0,0,0,81,9,0,1,0,1,0.16049382716049382,4,9201,253,928,15155,16.330818965517242,3.289365951520054,1282,0
0,0,0,7,0,2,0,1,4,1,0,0,130,22,2,0,1,1,0.05384615384615385,10,23,23,166,1404,8.457831325301205,1.2552725051057187,8,0
0,1,0,3,0,0,0,0,1,0,0,0,80,11,0,1,0,1,0.0875,5,39247,2938,973,141821,145.75642343268242,2.6570558528571997,2119,1
0,0,0,2,6,0,0,0,1,0,0,2,122,13,1,0,0,1,0.2786885245901639,3,22862,43,481,2243,4.663201663201663,1.3424226808241804,1494,0
0,1,0,3,1,0,0,0,0,0,0,0,128,16,2,1,0,1,0.1875,2,142135,50,776,2788,3.5927835051546393,1.6901960800294,1503,0
0,0,0,1,0,0,0,1,2,0,0,1,116,14,3,0,0,1,0.1896551724137931,2,94,0,71,37,0.5211267605633803,1.7160033436356343,154,0
0,0,0,3,0,0,0,2,0,0,0,0,96,18,2,0,0,1,0.03125,7,6734,114,189,17345,91.77248677248677,3.2812606870550356,2035,1
0,0,0,3,0,1,0,1,1,0,0,0,124,21,0,1,0,1,0.056451612903225805,2,6508,32,143,1931,13.503496503496503,1.832508912706875,2075,0
0,0,0,4,0,1,0,0,3,0,0,0,137,23,0,0,0,1,0.021897810218978103,11,14369,245,2128,31352,14.733082706766917,3.8821259197700373,1705,0
0,2,0,4,0,4,0,0,0,0,0,0,135,19,1,0,0,1,0.1037037037037037,6,62283,2199,420,113898,271.1857142857143,1.1760912590585766,2370,1
0,0,0,3,0,0,0,0,2,0,0,0,82,14,0,0,0,0,0.08536585365853659,2,17586,47,3497,9448,2.701744352301973,3.299289334087702,2196,0
0,1,1,1,0,0,0,0,2,0,0,0,64,8,0,1,0,1,0.15625,36,6843,250,580,19282,33.244827586206895,2.899820502427151,2077,1
0,1,0,4,0,0,0,0,0,0,0,0,126,18,0,0,0,1,0.06349206349206349,6,1760,49,14,3757,268.35714285714283,2.5490032620259107,638,0
0,1,0,2,3,0,1,0,0,0,0,0,140,16,1,1,0,1,0.09285714285714286,3,39258,2938,973,141842,145.77800616649537,2.6570558528571997,2119,1
0,1,0,4,0,0,0,0,0,0,0,0,69,8,0,0,0,1,0.13043478260869565,3,29451,2037,1029,103423,100.50826044703595,1.8195439355425267,2058,1
0,1,0,5,0,0,0,0,2,0,0,0,125,15,2,0,0,1,0.152,8,62294,2199,420,113917,271.2309523809524,1.1760912590585766,2370,1
0,2,1,4,0,0,0,0,0,0,0,0,117,12,0,0,0,1,0.11965811965811966,47,48712,2572,103,153122,1486.621359223301,2.7442929831227545,2168,0
0,2,1,3,0,0,0,2,1,0,0,0,118,15,2,1,0,1,0.07627118644067797,2,66423,452,2668,8852,3.31784107946027,3.611510887126667,2164,0
0,1,1,6,0,0,0,1,1,0,0,1,119,19,0,0,0,1,0.1092436974789916,14,10744,25,509,577,1.1335952848722985,3.2780673308886854,2019,0
0,1,0,3,0,0,0,0,1,0,0,0,89,12,1,0,1,1,0.12359550561797752,4,5843,43,1978,1360,0.6875631951466128,3.035829825252868,922,0
0,1,0,5,0,0,0,0,0,0,0,0,84,10,0,0,0,1,0.10714285714285714,13,62661,13995,3625,2064747,569.5853793103448,3.4917817755841796,2566,1
0,1,0,7,2,0,0,0,2,0,0,2,139,18,0,0,1,1,0.02877697841726619,4,3713,39,474,3670,7.742616033755274,0.6989700043447047,771,0
0,1,0,2,0,0,0,0,0,0,0,0,65,8,0,0,0,1,0.06153846153846154,18,1990,17,112,543,4.848214285714286,0.30102999568569594,836,1
0,1,0,3,0,0,0,2,1,0,0,0,119,17,2,1,0,1,0.11764705882352941,5,48848,287,108,13399,124.06481481481481,3.604334073102922,2128,0
0,0,0,3,0,0,0,0,1,0,0,0,61,11,0,1,0,0,0.13114754098360656,2,1129,15,413,1586,3.8401937046004844,2.683947130751602,970,0
0,0,0,1,0,0,0,0,1,0,0,0,139,20,1,0,0,0,0.14388489208633093,8,6182,10,384,403,1.0494791666666667,3.2543063323313097,367,0
0,2,1,3,0,0,0,0,0,0,0,0,111,14,0,0,0,1,0.16216216216216217,12,55668,728,795,24763,31.148427672955975,1.579783596617953,2261,1
0,1,0,2,1,0,0,0,1,0,0,0,134,20,1,0,0,1,0.08208955223880597,7,39285,2940,973,141954,145.89311408016445,2.6589648426645303,2120,1
0,0,0,1,0,0,0,0,0,0,0,2,70,12,0,0,0,1,0.18571428571428572,5,2476,5,57,1286,22.56140350877193,2.900367128656525,1609,0
0,2,1,3,0,0,0,0,0,0,0,0,97,10,1,0,0,1,0.14432989690721648,5,30688,789,470,61629,131.12553191489363,2.6404814369705214,2146,1
0,0,0,6,0,2,0,2,2,0,0,0,135,26,1,1,0,0,0.044444444444444446,2,35311,84,641,2577,4.02028081123245,4.246547817741823,1336,0
