emoji_count,URLcount,has_media,Skepticism,MentionCount,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,test_auxiliary,test_tentat,test_certain,Numeral,char_count,word_count,HashTag,has_question,has_exclaim,has_period,capital_ratio,retweet_count,tweet_count,listed_count,friends_count,follower_count,followers/friend,favourites_count,account_age_days,verified
0,1,0,4,0,0,0,0,0,0,0,0,88,12,0,0,0,1,0.1590909090909091,177,63575,7177,614,193798,315.6319218241042,1.8864907251730458,2126,1
0,0,0,1,0,0,0,0,0,0,0,0,53,6,1,0,0,1,0.03773584905660377,134,1076,140,375,4709,12.557333333333334,-10.0,1050,0
0,0,0,3,0,0,0,0,1,0,0,0,136,18,2,0,0,1,0.07352941176470588,148,7182,758,592,20401,34.461148648648646,2.1731862684125653,2030,0
0,2,0,8,0,0,0,0,2,0,0,0,138,16,1,0,0,1,0.10144927536231885,684,54427,102287,1038,15405096,14841.13294797688,2.9527924430441406,2891,1
0,2,1,3,0,0,0,0,0,0,0,0,117,13,1,0,0,1,0.1452991452991453,113,104998,13583,460,842236,1830.9478260869564,1.4149733479724882,1975,1
0,2,1,7,0,0,0,0,1,0,0,1,140,20,0,0,0,1,0.09285714285714286,510,122350,14705,17,1787519,105148.17647058824,0.30102999568569594,2728,1
0,0,0,2,0,0,0,0,0,0,0,0,115,16,0,0,0,1,0.09565217391304348,114,190165,44715,381,4730247,12415.346456692914,0.9542425094441503,2852,1
0,2,1,7,0,0,0,0,0,0,0,0,120,12,0,0,0,1,0.08333333333333333,214,125629,7647,2355,818296,347.47176220806796,2.6665179805549744,2367,1
0,2,1,4,0,0,0,1,2,0,0,0,140,15,3,0,0,1,0.09285714285714286,199,42636,568,1479,10518,7.1115618661257605,4.7759670564540055,2311,1
0,2,1,6,0,0,0,0,0,0,0,0,118,12,1,0,0,1,0.1440677966101695,109,45149,24916,2892,2003197,692.6683955739973,2.6085260335773013,2486,1
0,1,0,3,0,0,0,0,1,0,0,0,139,20,1,0,0,1,0.07913669064748201,142,144415,6569,381,1261558,3311.175853018373,2.627365856592835,2849,1
0,2,1,5,0,0,0,1,0,0,0,0,139,15,1,0,0,1,0.10071942446043165,124,114944,2554,6388,285305,44.66264871634314,2.9474337218870996,2268,1
0,2,1,5,0,0,0,0,0,0,0,0,137,17,2,0,0,1,0.10218978102189781,226,144274,6516,380,1258543,3311.955263157895,2.627365856592835,2849,1
0,1,0,7,0,0,0,0,0,0,0,2,130,22,1,0,0,1,0.07692307692307693,115,122331,14712,17,1786796,105105.64705882352,0.30102999568569594,2728,1
0,0,0,5,0,0,0,0,1,0,0,0,105,16,1,0,0,1,0.13333333333333333,170,190244,44724,381,4733916,12424.976377952757,0.9542425094441503,2854,1
0,0,0,2,0,0,0,0,0,0,0,2,58,9,1,0,0,0,0.05172413793103448,116,19444,374,1174,6975,5.941226575809199,3.043362278021169,2255,1
0,2,1,6,0,0,0,0,1,0,0,0,140,17,0,0,0,1,0.10714285714285714,135,105141,13606,460,843487,1833.6673913043478,1.4149733479724882,1977,1
0,0,0,2,0,0,0,0,0,0,0,0,84,11,0,0,0,1,0.14285714285714285,3992,97606,65590,7352,4555129,619.5768498367792,0.30102999568569594,2022,1
0,2,1,6,0,0,0,0,1,0,0,1,135,14,0,0,0,1,0.0962962962962963,104,125657,7657,2355,818843,347.704033970276,2.6665179805549744,2367,1
0,1,1,3,0,1,0,0,1,0,0,0,132,18,1,0,0,1,0.10606060606060606,190,5787,34,1718,1337,0.7782305005820722,1.041392685162173,1524,0
0,1,1,6,0,1,0,0,0,0,0,0,112,15,3,0,0,1,0.08035714285714286,190,6581,341,366,9084,24.81967213114754,0.7781512503908818,2292,1
0,1,0,4,0,0,0,0,0,0,0,1,99,14,0,0,0,1,0.1919191919191919,128,123899,11772,1763,972167,551.4276800907544,1.5910646070276129,2264,1
0,1,0,2,0,0,0,0,0,0,0,2,121,14,1,0,0,1,0.08264462809917356,180,82067,27177,1319,1557612,1180.9037149355572,0.6989700043447047,2875,1
0,1,0,5,0,0,0,0,0,0,0,0,140,19,1,0,0,1,0.08571428571428572,134,2171,54,1971,907,0.46017250126839165,2.2576785748694244,1708,0
0,1,0,6,1,1,0,1,1,0,0,0,121,18,1,0,0,1,0.09917355371900827,107,99921,1511,1390,29377,21.13453237410072,3.633872262658343,1351,0
0,1,1,6,0,0,0,0,1,0,0,0,138,19,1,0,0,1,0.07971014492753623,304,105149,13593,460,843601,1833.9152173913044,1.4149733479724882,1977,1
0,1,0,7,0,0,0,0,1,0,0,1,120,18,1,0,0,1,0.075,126,107299,35483,1083,3097296,2859.9224376731304,2.113943352307171,1890,1
0,2,1,5,0,0,0,0,0,0,0,1,140,17,1,0,0,1,0.14285714285714285,254,21156,792,371,20573,55.45283018867924,2.5037906830573173,1220,0
