depth,SUM FriendsCount,AVG FriendsCount,AVG WordCount,SUM WordCount,AVG CharCount,AVG HashTag,SUM HashTag,Ratio HashTag,SUM Url,AVG Url,RATIO Url,SUM Mention,AVG Mention,Ratio Mention,AVG Statues,AVG Listed,AVG Follower,AVG followers/friend,AVG favorite,Tweets Count,Ratio Verified,SUM Verified,SUM RT,AVG RT,AVG AccAge,thread_time,AVG Emoji,RATIO Emoji,Ratio Media,RATIO Question,RATIO Exclaim,RATIO Period,AVG FPP,AVG SPP,AVG TPP,AVG Skepticism,Ratio Skepticism,test_auxiliary,test_tentat,test_certain,root_user_ratio,unique_user_ratio,unique_user_sum
2,29671.0,1561.6315789473683,18.68421052631579,355.0,116.94736842105263,0.0,0.0,0.0,5.0,0.2631578947368421,0.2631578947368421,32.0,1.6842105263157894,0.9473684210526315,26968.0,0.7709936223116953,11267.684210526315,23.368845478914817,1185.2631578947369,19,0.05263157894736842,1.0,179.0,9.421052631578947,720.2631578947369,4533.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.42105263157894735,0.05263157894736842,0.7368421052631579,0.8421052631578947,6.0,1.0,0.47368421052631576,0.0,0.0,0.05263157894736842,0.5789473684210527,11
4,14245.0,1780.625,12.625,101.0,92.75,0.25,2.0,0.25,1.0,0.125,0.125,14.0,1.75,0.875,27721.75,1.9125284004772403,4900.875,4.466204658150465,1351.5,8,0.0,0.0,136.0,17.0,1231.125,24271.0,0.0,0.0,0.0,0.0,0.125,1.0,0.375,0.0,0.375,2.75,1.0,0.625,0.125,0.0,0.125,1.375,11
2,5478.0,782.5714285714286,15.0,105.0,104.71428571428571,0.5714285714285714,4.0,0.2857142857142857,0.0,0.0,0.0,10.0,1.4285714285714286,0.8571428571428571,9759.285714285714,1.0879319282235043,3507.4285714285716,5.736023629141935,1033.857142857143,7,0.0,0.0,149.0,21.285714285714285,1260.0,16377.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.2857142857142857,3.7142857142857144,1.0,0.7142857142857143,0.0,0.0,0.14285714285714285,1.5714285714285714,11
3,18718.0,1871.8,15.9,159.0,103.3,0.6,6.0,0.5,5.0,0.5,0.4,12.0,1.2,0.9,63201.5,1.799306192358126,1543134.3,1490.0922156821114,5402.4,10,0.1,1.0,685.0,68.5,1497.3,110654.0,0.1,0.1,0.0,0.3,0.1,0.7,0.2,0.4,0.3,5.0,1.0,0.8,0.0,0.0,0.1,1.1,11
2,3062.0,612.4,15.0,75.0,115.8,0.6,3.0,0.4,3.0,0.6,0.6,5.0,1.0,0.8,31634.4,1.4388896359558918,169018.0,367.5421202792885,1789.0,5,0.2,1.0,115.0,23.0,1182.6,1330.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,0.4,3.2,0.8,0.0,0.0,0.0,0.2,2.2,11
4,13664.0,546.56,13.76,344.0,86.52,0.08,2.0,0.08,5.0,0.2,0.2,33.0,1.32,0.96,10133.08,0.4817479061470435,71779.32,4206.702988227947,1061.2,25,0.04,1.0,512.0,20.48,1109.12,10175.0,0.0,0.0,0.04,0.24,0.08,0.6,0.16,0.32,0.28,3.72,0.88,0.64,0.08,0.04,0.04,0.44,11
3,26970.0,1284.2857142857142,13.761904761904763,289.0,88.33333333333333,0.09523809523809523,2.0,0.047619047619047616,2.0,0.09523809523809523,0.09523809523809523,26.0,1.2380952380952381,0.9523809523809523,42472.28571428572,1.1939451671149013,229152.57142857142,592.5591005046588,9351.857142857143,21,0.09523809523809523,2.0,119.0,5.666666666666667,1270.4761904761904,758508.0,0.0,0.0,0.0,0.23809523809523808,0.14285714285714285,0.47619047619047616,0.14285714285714285,0.23809523809523808,0.3333333333333333,2.761904761904762,0.8571428571428571,0.3333333333333333,0.0,0.09523809523809523,0.047619047619047616,0.5238095238095238,11
5,24409.0,904.0370370370371,12.703703703703704,343.0,89.5925925925926,0.14814814814814814,4.0,0.1111111111111111,4.0,0.14814814814814814,0.1111111111111111,48.0,1.7777777777777777,0.9629629629629629,19213.11111111111,0.9773887478247559,31208.0,13.887466912662493,3266.222222222222,27,0.037037037037037035,1.0,218.0,8.074074074074074,1177.8148148148148,8081.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.2222222222222222,0.48148148148148145,0.25925925925925924,0.07407407407407407,0.18518518518518517,2.962962962962963,0.8888888888888888,0.5185185185185185,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.4074074074074074,11
3,6880.0,1146.6666666666667,8.666666666666666,52.0,75.83333333333333,0.8333333333333334,5.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,7.0,1.1666666666666667,0.8333333333333334,24647.166666666668,1.6318960359111323,2743.1666666666665,2.089726500233975,13266.666666666666,6,0.16666666666666666,1.0,202.0,33.666666666666664,1998.0,83555.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,0.0,0.16666666666666666,1.8333333333333333,11
2,4025.0,1006.25,16.0,64.0,118.5,2.0,8.0,0.75,1.0,0.25,0.25,4.0,1.0,0.75,19846.25,1.6452924382549257,501007.0,173.7068765364523,4512.75,4,0.25,1.0,109.0,27.25,1603.5,4111.0,0.0,0.0,0.5,0.25,0.25,0.5,0.25,0.75,0.5,5.75,1.0,0.5,0.0,0.0,0.25,2.75,11
2,927.0,309.0,8.666666666666666,26.0,59.666666666666664,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,49170.333333333336,1.874559745283882,420668.0,1104.2698508840242,313.3333333333333,3,0.3333333333333333,1.0,142.0,47.333333333333336,2325.6666666666665,379.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,3.6666666666666665,11
2,10512.0,2102.4,13.8,69.0,111.2,1.0,5.0,0.6,2.0,0.4,0.4,4.0,0.8,0.8,33297.0,1.0413122884761958,57553.0,9.244764406803075,7095.0,5,0.2,1.0,124.0,24.8,843.2,8387.0,0.0,0.0,0.6,0.2,0.4,0.8,0.0,0.0,0.6,3.0,1.0,0.4,0.0,0.0,0.2,2.2,11
2,918.0,229.5,9.0,36.0,73.25,0.75,3.0,0.5,2.0,0.5,0.5,3.0,0.75,0.75,39965.0,1.3227755825890335,314817.5,829.5331579345651,276.5,4,0.25,1.0,226.0,56.5,1311.75,12087.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.25,2.75,11
3,2216.0,221.6,12.5,125.0,80.2,0.3,3.0,0.3,3.0,0.3,0.2,11.0,1.1,0.9,13961.8,0.6979246722100616,178752.0,10510.909438210161,665.7,10,0.1,1.0,116.0,11.6,1155.0,15142.0,0.0,0.0,0.0,0.2,0.1,0.6,0.4,0.0,0.4,3.2,0.9,0.2,0.0,0.1,0.1,1.1,11
